k,Dialogue,Description
A Moment of Hope,Something feels strangely ight about this room. Something is resisting the evil of the house.,Place the Blessing token in this room. Each hero rolls 1 additional die (maximum of 8 dice) on all trait rolls while in this room.
Spider,A spider the size of a fist lands on your shoulder... and crawls into your hair.,You must attempt a Speed roll to brush it away or a Sanity roll to stand stil: 4+ It's gone. Gain 1 in the trait you used to attempt this roll. 1-3 It bites you. Take 1 die of physical damage. 0 It takes a chunk out of you. Take 2 dice of physical damage.
Closet Door,That closet door is open... just a crack. There must be something inside.,"Put the Closet token in this room. Once during an explorer's turn, that explorer can roll 2 dice to open the Closet: 4 Draw an item card. 2-3 Draw an event card. 0-1 Draw an event card and remove the Closet token."
Funeral,You see an open coffin. You're inside it.,"You must attempt a Sanity roll: 4+ You blink, and it's gone. Gain 1 Sanity. 2-3 The vision disturbs you. Lose 1 Sanity. 0-1 You're reallin in that coffin. Lose 1 Sanity and 1 Might as you dig yourself out. If the Graveyard or the Crypt has been found, put your explorer in one of those rooms (you choose which one)."
Silence,"Underground, everthing goes silent. Even the sound of breathing is gone.",Each explorer in the basement must attempt a Sanity roll. 4+ You wait calmly for your hearing to return. 1-3 You scream a silent scream. Take 1 die of mental damage. 0 You freak out. Take 2 dice of mental damage. Each result affects only the explorer making that roll.
Lights Out,"Your flashlight goes out. Don't worry, someone else has batteries.","Keep this card. You can move only 1 space each turn until you end your turn in the same room as another explorer. At the end of that turn, discard this card. Then you can move normally again. If you have the Candle or end your turn in the Furnace Room, discard this card."
Mists from the Walls,"Mists pour out from the walls. There are faces in the mist, human and… inhuman.",Each explorer in the basement must attempt a Sanity roll: 4+ The faces are tricks of light and shadow. All is well. 1-3 Take 1 die of mental damage (and 1 addiional die of damage if that explorer is in a room with an event symbol). 0 Take 1 die of mental damage (and 2 additional dice of damage if that explorer is in a room with an event symbol). Each result affects only the explorer making that roll.
Shrieking Wind,"The wind picks up, a slow crescendo to a screeching howl.","Each explorer in the Gardens, Graveyard, Patio, Tower, on the Balcony, or in a room with an outside-facing window, must attempt a Might roll: 5+ You keep your footing. 3-4 The wind knocks you down. Take 1 die of physical damage. 1-2 The wind chills your soul. Take 1 die of mental damage. 0 The wind knocks you down hard. Take 1 die of physical damage. Put one of your items (if you have one) in the Entrance Hall. Each result affects only the explorer making that roll."
Hanged Men,"A breeze chills the room. Before you, three men hang from frayed ropes. They stare at you with cold, dead eyes. The trio swing silently, then fade into dust that falls to the ground. You start to choke.","You must attempt a roll of each trait: 2+ That trait is unaffected. 0-1 Lose 1 from that trait. If you roll a 2+ on all 4 rolls, gain 1 additional point in a trait of your choice."
Something Hidden,"There's something odd about this room, but what? It's tickling the back of your mind.","If ou want to try to figure out what's odd, attempt a Knowledge roll: 4+ A section of wall slides away, revealing an alcove. Draw an item card. 0-3 You can't figure it out, and that makes you a bit crazy. Lose 1 Sanity."
Drip Drip Drip,A rhythmic sound that needles at your brain.,Put the Drip token in this room. Each explorer rolls 1 fewer die (minimum of 1) on all trait rolls while in this room.
Rotten,"The smell in this room, it's horrible. Smells like death, like blood. A slaughterhouse smell.","You must attempt a Sanity roll: 5+ Troubling odors, nothing more. Gain 1 Sanity. 2-4 Lose 1 Might. 1 Lose 1 Might and 1 Speed. 0 You double over with nausea. Lose 1 Might, 1 Speed, 1 Knowledge, and 1 Sanity."
The Walls,This room is warm. Flesh-like walls pulse with a steady heartbeat. Your own heart beats with the rhythm of the house. You are drawn into the walls… and emerge somewhere else.,You must draw the next room tile and put it in the house. Put your explorer in that room.
Secret Stairs,A horrible creaking sound echoes around you. You've discovered a secret stairwell.,"Put one Secret Stairs token in this room and a second Secret Stairs token in an existing room on another floor. Moving from one Secret Stairs token to the other counts as moving one space. (The stairs don't count as a space.) You can follow the stairs right now, even if you don't have any movement left. If you do follow them this turn, draw an event card in the new room."
Angry Being,It emerges from the slime on the wall next to you,You must attempt a Speed roll: 5+ You get away. Gain 1 speed. 2-4 Take 1 die of mental damage. 0-1 Take 1 die of mental damage and 1 die of physical damage.
Disquieting Sounds,"A baby's cry, lost and abandoned. A scream. The crack of breaking glass. Then silence.","Roll 6 dice. If you roll equal to or more than th enumber of omens that have been revealed, you gan 1 Sanity. If not, take 1 die of mental damage."
Burning Man,"A man on fire runs through the room. His skin bubbles and cracks, falling away from him and leaving a fiery skull that clatters to the ground, bounces, rolls, and disappears.","You must attempt a Sanity roll: 4+ You feel a little hot under the collar, but otherwise fine. Gain 1 Sanity. 2-3 Out, out, you must get out. Put your explorer in the Entrance Hall. 0-1 You burst into flames! Take 1 die of physical damage. Then take 1 die of mental damage as you put out the flames."
Image in the Mirror,"If you don't have any item cards, this event affects the next explorer to your left with an item card. Discard this card if no explorer has an item card.","There is an old mirror in this room. Your frightened reflection moves on its own. You realize it is you from another time. You need to help your reflection, so you write on the mirror: 'This Will Help'. You then hand an item through th emirror. Choose on of your item cards (not an omen card) and put it on the item stack. Then shuffle that stack. Gain 1 Knowledge."
Groundskeeper,"You turn to see a man in groundskeeper clothing. He raises his shovel and charges. Inches from your face, he disappears, leaving muddy footprints, and nothing more.","You must attempt a Knowledge roll. (An explorer in the Gardens rolls 2 fewer dice on this roll.) 4+ You find something in th emud. Draw an item card. 0-3 The groundkeeper reappears and strikes you in the face with the shovel. The player on your right rolls a Might 4 attack for the Groundskeeper. You defend against this attack as normal, by rolling dice equal to your Might"
Image in the Mirror,There is an old mirror in this room. Your frightened reflection moves on its own. You realize it is you from another time. Your reflection writes on the mirror: This Will Help.Then it hands you an item through the mirror.,Draw an item card.
Possession,"A shadow separates from the wall. As you stand in shock, the shadow surrounds you and chills you to the core.","You must choose any one trait and attempt a roll for that trait: 4+ You resist the shadow's corruption. Gain 1 in a trait of your choice. 0-3 The shadow drains you energy. The chosen trait drops to its lowes value. (It doesn't drop to the skull.) If that trait is already at its lowest value, lower a different trait to its lowest value."
Secret Passage,"A section of the wall slides away. Behind it, a moldy tunnel awaits.","Put a Secret Passage token in this room. Roll 3 dice and place the second Secret Passage token in: 6 Any existing room. 4-5 Any existing upper floor room. 2-3 Any existing ground floor room. 0-1 Any existing basement room. You can then use the Secret Passage, even if you don't have any movement left. Moving from one Secret Passage token to the other counts as moving one space. (The passage itself doesn't count as a space.) On later turns, any explorer can use the Secret Passage. An explorer can't end his or her turn in the passage."
Revolving Wall,The wall spins to another place.,"Place the Wall Switch token on a wall without an exit in this room or a corner of this room. If there isn't a room on the other side of the Wall Switch, draw room tiles until you find one for this floor, then put it in the house. (If there are no more rooms on this floor, discard this card.) Then put your explorer in that room. Once during an xplorer's turn, if that explorer is in either room, he or she can attempt a Knowledge roll to use the Wall Switch: 3+ That explorer finds the hidden switch and goes through. This doesn't count as moving a space. 0-2 That explorer can't find the hidden switch and can't go through."
Bloody Vision,"The walls of this room are damp with blood. The blood drips from the ceiling, down the walls, over the furniture, and onto your shoes. In a blink, it is gone.","You must attempt a Sanity roll: 4+ You steel yourself. Gain 1 Sanity. 2-3 Lose 1 Sanity. 0-1 If an explorer or monster is in your room or an adjacent one, you must attack it (if you can). Choose the explorer with the lowest Might, if possible."
Grave Dirt,This room is covered in a thick layer of dirt. You cough as it gets on your skin and in your lungs.,"You must attempt a Might roll: 4+ You shake it off. Gain 1 Might. 0-3 Something is wrong. Keep this card. Take 1 point of physical damage at the start of each of your turns. Discard this card if an item card increases on of your traits or if you end your turn in the Balcony, Gardens, Graveyard, Gymnasium, Larder, Patio, or Tower"
What The …?,"As you look back the way you came, you see … nothing. Just empty fog and mist where a room used to be.","Pick up the tile for the room you are in (after setting everything on it aside). Put it somewhere else on the same floor of the house so its door is attached to a different unexplored doorway (and put back everything you set aside). If there isn't an unexplored doorway on this floor, move the room to a different floor."
